agreement,year,provisionNum,topic,provisionText
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Anishinabek Nation Fiscal Agreement"" means the agreement described in Chapter 8 of this Agreement"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Anishinabek Nation Government"" means the government of the Anishinabek Nation represented by the Grand Council"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Conflict"" means an actual conflict in operation or operational incompatibility"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Decision"" means a decision made by a First Nation Government, the Anishinabek Nation Government or an Anishinaabe Institution pursuant to an exercise of law-making power or other authority under this Agreement"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Deputy Grand Council Ogiimah"" means a Deputy Grand Council Chief of the Anishinabek Nation"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Deputy Grand Council Ogiimak"" means the Deputy Grand Council Chiefs of the Anishinabek Nation"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""E'Dbendaagzijig"" means a person who is a citizen of a First Nation as defined in that First Nation's E'Dbendaagzijig law"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Effective Date"" means the date that this Agreement comes into legal effect under federal legislation"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Federally Supported Programs and Services"" means the list of programs and services described in the Anishinabek Nation Fiscal Agreement"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""First Nation"" means, depending on the context, a First Nation who:"
Anishinabek Nation Governance Agreement,2019,1.1a,Definitions,"is a Party to this Agreement as set out in Schedule A
          or"
Anishinabek Nation Governance Agreement,2019,1.1b,Definitions,"is a ""band"" for the purposes of the continuing application of the Indian Act"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""First Nations' Fiscal Contribution"" means the amount determined pursuant to the formula set out in the Anishinabek Nation Fiscal Agreement and used in the calculation of the Transfer Payment"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""First Nation Government"" means the government of a First Nation represented by its Ogiimah and council"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Generally Accepted Accounting Principles"" means the accounting principles generally accepted in Canada from time to time, and, where the Chartered Professional Accountants of Canada or its successor publishes a statement of a principle or an accounting guideline, including the CPA Canada Public Sector Accounting Handbook, that statement or guideline will be considered conclusively to be an accounting principle or guideline generally accepted in Canada"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Grand Council"" means the law-making body of the Anishinabek Nation and is comprised of a Grand Council Ogiimah, Deputy Grand Council Ogiimak and a representative of each First Nation of the Anishinabek Nation, all of whom must be E'Dbendaagzijig of the Anishinabek Nation"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Grand Council Ogiimah"" means the Grand Council Chief of the Anishinabek Nation"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Implementation and Operations Committee"" means the committee established pursuant to Chapter 16 of this Agreement"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Implementation Plan"" means the plan described in Chapter 16 of this Agreement"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Intellectual Property"" means any intangible property right resulting from intellectual activity in the industrial, scientific, literary, or artistic fields, including any right relating to patents, copyrights, trademarks, industrial designs or plant breeders' rights"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""International Legal Obligation"" means an obligation binding on Canada under international law, including an obligation that is in force on or after the Effective Date"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""International Treaty"" means an international agreement concluded:"
Anishinabek Nation Governance Agreement,2019,1.1a,Definitions,"between states
          or"
Anishinabek Nation Governance Agreement,2019,1.1b,Definitions,"between one or more states and one or more international organizations
          in written form and governed by international law, whether embodied in a single instrument or in 2 or more related instruments and whatever its particular designation"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""International Tribunal"" means any international court, tribunal, committee, panel or other international body, mechanism or procedure, which has competence to determine or advise on Canada's compliance with an International Legal Obligation"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Ogiimah"" means a Chief of a First Nation of the Anishinabek Nation"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Ogiimak"" means the Chiefs of the First Nations of the Anishinabek Nation"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Parties"" means the individual First Nations, the Anishinabek Nation and Canada"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"""Reserve"" means:"
Anishinabek Nation Governance Agreement,2019,1.1,Definitions,"a ""reserve"" as defined in the Indian Act of a First Nation"
